"income","spread","loan.amount","high.rate","black","woman"
102,3.65,128,1,0,1
350,0,358,0,0,1
44,3.19,125,1,0,1
240,0,118,0,0,1
475,0,1080,0,0,0
59,0,175,0,0,0
480,0,417,0,0,0
259,3.36,482,1,0,1
251,0,417,0,0,0
91,0,200,0,0,0
195,0,300,0,0,0
174,0,216,0,0,1
588,0,452,0,0,0
200,0,400,0,0,1
450,0,417,0,0,0
55,0,176,0,0,0
204,4.47,80,1,0,0
236,0,155,0,0,0
120,0,112,0,0,0
46,0,40,0,0,1
46,0,119,0,0,1
34,0,132,0,1,0
1200,0,371,0,0,0
84,0,220,0,0,0
54,5.89,34,1,0,1
54,0,136,0,0,1
63,0,190,0,0,1
270,3.68,203,1,0,1
38,0,176,0,0,1
33,0,105,0,0,0
64,4.19,227,1,0,0
143,0,222,0,0,0
51,4.32,139,1,0,0
94,0,146,0,0,0
260,0,112,0,0,1
130,0,96,0,0,0
53,0,148,0,0,1
295,0,140,0,0,0
48,0,156,0,0,1
100,0,208,0,0,1
90,0,121,0,0,0
130,0,134,0,0,0
108,4.05,238,1,0,0
96,3.37,235,1,0,0
150,0,100,0,0,1
50,0,194,0,0,0
43,0,103,0,0,0
29,0,90,0,0,0
42,5.24,38,1,0,1
150,0,239,0,0,0
260,0,224,0,0,0
105,0,189,0,0,0
42,0,113,0,0,1
110,0,121,0,1,0
55,0,188,0,0,1
80,0,63,0,0,1
36,0,134,0,0,0
66,0,223,0,0,1
40,0,80,0,0,0
31,0,80,0,0,1
64,0,200,0,0,0
59,5.04,54,1,0,1
57,0,130,0,0,1
72,0,53,0,0,0
78,5.51,42,1,0,0
73,5.54,45,1,0,1
102,3,194,1,0,0
50,3.15,151,1,0,0
49,0,215,0,0,0
720,0,108,0,0,0
72,0,158,0,0,0
73,0,170,0,0,1
59,0,161,0,0,1
78,3.04,158,1,0,0
49,0,132,0,0,0
88,0,289,0,0,0
75,0,71,0,0,0
78,0,197,0,0,0
61,0,194,0,0,0
43,0,215,0,0,1
77,0,237,0,0,1
26,0,88,0,0,1
132,0,214,0,0,0
78,0,144,0,0,1
59,0,105,0,0,0
230,0,50,0,0,0
129,0,180,0,0,0
76,0,138,0,0,0
150,4.89,90,1,0,1
142,3.03,162,1,0,0
204,0,149,0,0,1
143,0,300,0,0,1
433,0,300,0,0,0
196,0,170,0,0,0
126,0,260,0,0,1
191,0,404,0,0,0
220,0,126,0,0,0
52,0,225,0,0,1
111,4.31,340,1,0,0
198,0,120,0,0,0
69,0,222,0,0,1
260,0,315,0,1,0
260,0,140,0,0,0
86,0,266,0,0,0
300,0,260,0,0,1
214,0,300,0,0,0
552,0,500,0,0,0
65,0,168,0,0,0
81,0,63,0,0,1
41,0,169,0,0,1
150,4.83,273,1,1,0
102,0,155,0,0,0
85,0,120,0,0,0
49,0,165,0,1,0
77,0,160,0,0,1
53,3.96,191,1,0,1
157,0,184,0,0,0
64,0,151,0,1,0
78,0,156,0,0,1
52,0,196,0,0,0
68,0,199,0,0,1
72,3.01,201,1,0,0
175,0,180,0,0,0
102,0,285,0,0,0
77,5.27,53,1,0,1
30,0,136,0,0,0
73,0,300,0,0,0
70,0,146,0,0,0
33,0,120,0,0,0
120,3.15,168,1,0,0
93,0,256,0,0,0
116,0,209,0,0,1
67,0,204,0,0,0
52,0,200,0,0,0
42,0,145,0,0,0
57,3.75,233,1,1,0
53,4.07,170,1,0,1
82,4.02,260,1,0,1
87,5.45,45,1,0,1
144,5.15,36,1,0,0
73,4.08,168,1,0,0
67,3.32,158,1,0,0
59,0,200,0,0,1
72,0,209,0,0,1
87,0,178,0,0,1
64,0,215,0,0,0
70,3.36,233,1,0,1
75,3.63,240,1,0,0
60,0,227,0,0,1
118,0,200,0,0,0
124,3.15,216,1,0,0
73,0,253,0,0,0
199,0,149,0,0,1
150,5.48,216,1,0,0
96,5.45,22,1,0,0
144,0,62,0,0,1
89,5.18,53,1,0,0
288,0,33,0,0,0
81,0,193,0,0,0
89,0,183,0,0,0
155,0,207,0,0,0
70,0,184,0,0,0
44,0,155,0,0,0
75,0,201,0,0,0
41,0,153,0,0,0
40,0,154,0,0,0
66,0,229,0,0,1
55,0,256,0,0,0
89,0,191,0,0,1
57,0,139,0,0,0
89,0,213,0,0,0
144,0,250,0,0,1
96,0,174,0,0,0
133,3.1,250,1,0,1
76,4.49,254,1,1,1
55,0,244,0,0,1
288,0,264,0,0,0
83,5.33,320,1,0,0
58,3.2,230,1,0,1
77,3.4,285,1,1,1
34,0,191,0,0,1
47,0,157,0,0,0
104,0,193,0,0,0
75,0,196,0,0,1
91,5.08,257,1,0,0
103,0,168,0,0,1
105,0,216,0,0,1
59,0,46,0,1,0
84,5.72,46,1,0,0
115,5.25,51,1,0,0
74,0,162,0,0,0
41,0,165,0,0,0
48,0,138,0,0,1
300,0,192,0,0,1
120,0,215,0,0,0
200,0,134,0,0,0
79,0,188,0,0,1
52,0,130,0,0,0
115,0,203,0,0,0
84,0,184,0,0,0
150,0,164,0,0,0
353,0,170,0,0,0
201,0,166,0,0,0
306,0,170,0,0,0
94,3.75,216,1,0,0
99,0,265,0,0,0
64,0,256,0,0,0
76,0,230,0,0,1
72,0,272,0,0,0
564,0,173,0,0,0
59,0,139,0,1,0
132,0,159,0,0,0
114,0,166,0,0,1
97,0,148,0,0,1
46,0,157,0,0,0
79,0,260,0,0,0
47,5.51,37,1,0,0
188,0,250,0,0,0
106,3.64,261,1,0,0
107,0,184,0,0,0
47,0,110,0,0,0
39,0,153,0,0,0
35,0,128,0,0,0
151,0,118,0,0,0
59,3.51,218,1,0,0
151,0,472,0,0,0
70,0,134,0,0,1
103,0,168,0,0,0
54,3.14,180,1,0,0
62,3.18,165,1,1,0
40,3.68,127,1,0,1
60,0,215,0,0,0
45,0,208,0,0,0
63,0,154,0,0,0
48,0,134,0,0,1
53,3.56,175,1,0,0
96,3.54,266,1,0,1
93,0,192,0,0,0
128,3.07,328,1,0,1
99,3.09,196,1,0,0
101,0,74,0,0,1
158,0,113,0,0,0
123,0,61,0,0,0
81,0,60,0,0,1
406,0,574,0,0,0
79,0,240,0,0,1
57,0,115,0,0,1
49,0,200,0,0,0
191,0,365,0,0,0
105,3.45,328,1,0,0
64,0,165,0,0,0
364,0,100,0,0,0
81,3.54,330,1,0,1
216,0,447,0,0,0
123,0,184,0,0,0
195,0,360,0,0,0
150,3.84,169,1,0,0
94,0,220,0,0,1
81,0,240,0,0,1
111,3,188,1,0,0
158,0,338,0,0,0
51,0,170,0,0,0
55,3.99,150,1,1,0
101,0,296,0,0,1
144,4.26,277,1,0,0
173,0,400,0,0,0
92,0,224,0,0,0
38,0,136,0,0,0
63,0,164,0,0,1
53,0,201,0,0,0
46,0,164,0,0,0
53,0,189,0,0,0
65,0,275,0,0,0
48,0,159,0,0,0
95,0,232,0,0,1
43,0,147,0,0,1
108,0,25,0,0,0
98,0,32,0,0,0
1020,0,416,0,0,0
230,0,400,0,0,0
450,3.24,334,1,0,0
911,0,250,0,0,0
911,0,1050,0,0,0
186,4.41,404,1,0,1
300,0,244,0,0,0
131,0,400,0,0,0
161,0,98,0,1,0
408,0,148,0,0,0
287,0,760,0,0,1
68,0,94,0,0,0
228,3.83,518,1,0,0
74,0,140,0,0,0
192,0,524,0,0,0
216,0,452,0,0,1
162,0,465,0,0,0
70,0,240,0,0,1
384,3,461,1,0,0
161,0,520,0,1,0
33,0,114,0,0,0
79,0,200,0,0,1
49,0,194,0,0,0
489,0,646,0,0,0
61,0,177,0,0,0
593,0,225,0,0,0
79,0,63,0,0,0
78,5.37,44,1,0,1
59,0,125,0,0,1
79,0,188,0,0,0
78,0,177,0,0,1
105,0,352,0,0,0
89,0,95,0,0,0
150,0,240,0,0,0
89,0,228,0,0,0
69,0,196,0,0,0
37,3.61,160,1,0,1
81,0,316,0,0,0
83,0,90,0,0,0
110,0,75,0,0,0
60,0,94,0,0,0
101,0,210,0,0,0
58,0,122,0,0,0
61,3.76,195,1,0,0
81,0,212,0,0,0
240,0,106,0,0,1
276,0,207,0,0,0
126,0,176,0,0,1
163,0,469,0,0,0
300,0,210,0,0,0
100,0,320,0,0,1
343,0,316,0,0,0
300,0,551,0,0,1
251,3.98,594,1,0,0
107,3.59,101,1,0,1
162,0,257,0,0,0
118,3.2,315,1,0,0
63,0,260,0,0,1
82,0,218,0,0,1
64,0,106,0,0,0
300,0,520,0,0,1
164,0,377,0,0,0
75,3.95,159,1,0,0
256,0,415,0,0,0
144,0,200,0,0,1
49,3.13,160,1,0,0
56,0,198,0,0,1
225,4.23,176,1,0,0
48,0,125,0,0,0
612,0,650,0,0,0
399,0,1280,0,0,0
100,0,314,0,0,1
105,0,320,0,0,1
80,0,67,0,0,0
83,0,228,0,0,0
89,0,357,0,0,0
117,0,184,0,1,0
129,0,310,0,0,1
71,0,157,0,0,1
301,4.71,223,1,0,0
90,0,195,0,0,1
72,0,225,0,0,0
106,3.37,230,1,0,1
69,0,205,0,0,0
53,0,175,0,0,0
108,3.38,260,1,0,0
115,0,157,0,0,1
32,0,153,0,0,0
114,0,27,0,0,0
66,3.16,220,1,0,1
94,3.06,193,1,0,1
49,0,168,0,1,0
46,0,140,0,0,0
87,0,160,0,0,0
87,5.32,73,1,0,0
50,0,108,0,0,1
229,3.02,312,1,1,1
100,0,254,0,0,1
123,3.94,101,1,0,1
160,3.06,266,1,1,1
425,0,1450,0,0,1
90,0,286,0,0,0
44,0,290,0,0,0
91,0,225,0,0,0
148,0,290,0,0,0
198,0,360,0,0,0
104,6.1,390,1,0,0
221,0,241,0,0,0
81,0,248,0,0,1
127,0,256,0,0,0
184,0,337,0,0,0
86,3.34,133,1,0,0
138,0,168,0,0,0
128,0,150,0,0,0
203,0,400,0,0,0
546,0,576,0,0,0
180,3.67,310,1,0,0
109,0,118,0,0,0
90,0,253,0,0,0
77,0,208,0,0,0
118,0,200,0,0,0
138,3.02,184,1,0,1
1224,3.96,400,1,0,0
86,0,110,0,0,0
46,0,114,0,0,1
88,0,324,0,0,0
47,0,135,0,0,0
108,0,110,0,0,0
132,0,107,0,0,0
88,0,146,0,0,0
318,0,220,0,0,0
662,0,912,0,0,0
117,0,270,0,0,0
546,0,230,0,0,0
76,5.59,37,1,0,1
48,3.58,155,1,0,1
62,0,139,0,0,0
79,0,227,0,0,1
76,0,146,0,0,1
41,0,157,0,0,1
40,0,157,0,1,0
88,0,159,0,0,0
57,0,161,0,0,1
65,0,210,0,0,0
54,0,159,0,0,0
67,0,143,0,0,1
85,4.15,210,1,0,1
67,4.09,169,1,0,0
53,0,117,0,0,1
132,7.76,48,1,0,0
25,0,30,0,0,1
70,0,51,0,0,1
73,4.89,190,1,0,1
132,3.17,124,1,0,0
176,0,274,0,0,0
130,0,222,0,0,0
63,4.49,179,1,1,1
70,0,145,0,0,1
66,4.33,185,1,0,0
64,0,188,0,0,1
176,0,278,0,0,0
45,0,133,0,0,1
41,0,136,0,0,0
65,0,241,0,1,0
86,0,236,0,1,1
108,0,263,0,0,1
77,0,93,0,0,0
50,0,168,0,0,1
100,0,223,0,0,0
90,0,232,0,0,1
57,0,222,0,1,0
66,0,235,0,0,0
140,0,297,0,0,0
53,3.22,175,1,0,1
98,3.4,233,1,0,0
50,0,42,0,0,1
90,0,58,0,0,1
198,0,333,0,0,0
108,0,88,0,0,1
51,3.56,182,1,0,1
50,0,175,0,0,0
90,0,173,0,0,0
59,0,212,0,0,0
42,0,162,0,1,1
35,0,163,0,0,0
71,0,208,0,0,1
63,0,184,0,0,1
61,0,160,0,0,1
62,0,160,0,1,0
62,5.43,40,1,1,0
103,3.54,247,1,0,0
34,0,159,0,0,0
33,0,117,0,0,1
70,0,264,0,0,0
46,0,115,0,0,0
39,0,118,0,0,0
27,0,70,0,0,1
44,0,204,0,0,0
60,0,76,0,0,0
55,0,129,0,0,0
62,0,180,0,0,0
140,0,166,0,1,1
40,0,132,0,0,0
120,0,214,0,1,1
456,4.71,249,1,0,1
456,4.71,249,1,0,1
41,0,186,0,0,0
69,3.27,175,1,0,1
43,0,220,0,0,1
161,3.43,261,1,0,1
99,3.86,175,1,0,0
67,0,240,0,0,0
61,4.15,210,1,0,1
44,0,170,0,1,0
217,3.84,226,1,0,0
143,0,258,0,0,1
324,3.99,201,1,0,0
103,0,256,0,0,0
139,0,248,0,0,0
78,0,163,0,0,1
51,0,176,0,0,1
71,0,231,0,1,0
61,0,152,0,1,1
79,0,176,0,0,0
217,4.04,226,1,0,0
300,4.11,234,1,0,0
300,4.08,234,1,0,0
61,0,38,0,1,1
76,0,168,0,0,0
275,0,600,0,0,0
352,0,276,0,0,0
79,0,147,0,0,0
215,0,684,0,0,1
40,0,167,0,0,1
84,0,156,0,0,0
194,0,398,0,0,0
77,0,168,0,0,0
100,0,118,0,0,1
71,0,240,0,0,1
148,0,176,0,0,0
75,0,170,0,0,0
160,0,202,0,0,0
40,3.05,190,1,0,1
53,0,203,0,0,0
75,0,164,0,0,0
87,0,218,0,0,0
30,0,75,0,0,1
71,5.04,80,1,0,1
75,0,57,0,0,0
75,0,21,0,0,0
90,0,75,0,0,0
51,0,184,0,0,1
87,0,205,0,0,0
180,0,116,0,0,0
350,0,660,0,0,0
215,0,417,0,0,0
70,0,158,0,0,0
54,3.03,200,1,0,0
86,0,250,0,0,0
325,0,158,0,0,1
330,0,624,0,0,0
55,0,131,0,0,1
80,0,158,0,0,0
383,0,796,0,0,0
1082,0,525,0,0,0
514,0,770,0,0,1
510,0,325,0,0,0
630,0,517,0,0,0
700,0,640,0,0,0
191,0,480,0,0,0
211,4.1,618,1,0,1
113,0,210,0,0,0
816,0,800,0,0,0
600,0,732,0,0,0
276,4.67,540,1,0,0
59,3.1,261,1,0,0
177,0,417,0,0,0
150,0,411,0,0,0
370,0,394,0,0,0
208,0,275,0,0,0
360,0,462,0,0,1
195,0,150,0,0,0
740,0,415,0,0,0
234,0,368,0,0,0
340,0,440,0,0,0
147,0,86,0,1,0
183,0,750,0,0,1
1267,0,927,0,0,0
389,0,417,0,0,0
300,0,569,0,0,0
375,0,1100,0,0,0
600,0,805,0,0,0
415,0,417,0,0,0
365,0,300,0,0,0
300,3.42,144,1,0,1
128,0,159,0,0,0
247,0,576,0,1,0
1218,0,264,0,0,0
264,0,285,0,0,0
162,0,281,0,0,0
130,0,291,0,0,0
336,0,222,0,0,0
67,0,53,0,0,0
178,0,45,0,0,0
296,0,255,0,0,0
224,0,300,0,0,0
458,0,335,0,0,0
90,0,192,0,0,1
180,0,210,0,0,0
185,0,272,0,0,0
263,0,200,0,0,0
219,3.47,315,1,0,0
180,0,963,0,0,1
62,0,187,0,0,0
113,0,50,0,0,0
113,0,188,0,0,0
164,0,160,0,0,0
270,0,399,0,0,0
170,0,291,0,0,0
314,0,384,0,0,0
94,3.24,270,1,0,0
314,0,417,0,0,0
287,0,138,0,0,0
183,0,145,0,0,1
114,0,327,0,0,0
250,0,400,0,0,0
228,0,248,0,0,0
89,0,238,0,0,0
150,0,223,0,0,1
104,0,315,0,0,0
162,0,402,0,0,0
314,0,327,0,0,0
108,0,284,0,0,1
216,0,250,0,0,0
225,0,226,0,0,0
178,0,357,0,0,0
184,0,257,0,0,1
183,0,580,0,0,1
468,0,388,0,0,0
270,0,285,0,0,0
215,0,277,0,0,0
182,0,60,0,1,0
456,0,1500,0,0,0
182,0,320,0,1,0
120,0,275,0,0,0
247,0,288,0,0,1
94,0,125,0,0,0
290,0,300,0,0,0
111,0,280,0,0,0
111,5.03,70,1,0,0
47,0,190,0,0,0
1000,0,417,0,0,0
720,4.5,172,1,0,0
88,0,240,0,0,1
675,0,110,0,0,0
204,0,300,0,0,0
893,3.1,469,1,0,0
82,0,280,0,0,0
620,0,520,0,0,0
828,0,1140,0,0,0
1089,0,616,0,0,0
372,0,628,0,0,1
199,0,466,0,0,0
1326,0,1000,0,0,0
240,0,404,0,0,1
180,0,200,0,0,1
600,0,415,0,0,0
476,0,740,0,0,0
425,0,750,0,0,0
197,0,300,0,0,0
79,0,250,0,0,0
164,0,385,0,0,0
137,0,200,0,0,1
148,0,329,0,0,0
170,0,417,0,0,0
342,0,383,0,0,0
140,0,381,0,0,0
54,0,134,0,0,0
46,0,164,0,0,0
206,0,895,0,0,0
90,0,81,0,0,1
296,0,113,0,0,0
120,0,84,0,0,0
58,0,142,0,0,0
58,0,27,0,0,0
94,0,106,0,0,0
28,5.15,137,1,0,1
31,6.3,150,1,1,1
82,0,148,0,0,1
56,6.37,165,1,1,1
147,0,569,0,0,0
642,0,420,0,0,0
341,0,417,0,0,0
275,0,510,0,0,0
360,0,615,0,0,0
89,0,188,0,0,0
328,0,547,0,0,0
139,6.39,257,1,0,0
350,0,360,0,0,0
64,0,15,0,0,1
46,0,111,0,0,1
64,0,152,0,0,1
24,0,100,0,0,1
161,0,142,0,1,0
83,0,344,0,0,1
161,5.11,36,1,1,0
345,0,102,0,0,0
83,0,195,0,0,1
26,0,99,0,0,0
62,5.12,127,1,0,1
300,0,361,0,0,0
48,0,141,0,1,1
150,0,130,0,0,1
52,0,188,0,0,1
231,0,162,0,0,0
134,0,153,0,0,0
76,0,186,0,0,0
76,0,135,0,0,1
52,0,101,0,0,0
120,0,112,0,0,0
39,0,142,0,0,1
150,0,212,0,0,0
105,0,123,0,0,0
78,0,116,0,0,0
52,0,142,0,0,0
49,0,111,0,0,0
176,3.12,136,1,0,0
199,0,189,0,0,0
934,0,975,0,0,1
246,3.47,183,1,1,0
56,0,238,0,0,1
365,0,324,0,0,0
89,0,260,0,0,1
70,0,225,0,0,1
54,0,180,0,0,1
120,0,417,0,0,1
57,0,191,0,0,0
150,0,285,0,0,0
50,0,160,0,0,1
143,0,220,0,0,0
125,0,22,0,0,0
125,0,348,0,0,0
81,0,159,0,0,0
34,0,150,0,0,1
90,0,204,0,0,1
94,0,120,0,0,1
58,0,212,0,0,0
131,0,282,0,0,0
103,0,320,0,0,0
190,0,335,0,0,0
325,0,344,0,0,0
608,0,335,0,0,0
195,0,353,0,0,0
642,0,63,0,0,0
185,0,320,0,0,1
135,0,312,0,0,1
66,0,74,0,0,0
111,0,195,0,0,0
59,0,138,0,0,0
40,0,120,0,0,1
218,0,117,0,0,0
22,5.66,88,1,0,1
104,0,173,0,0,0
104,0,43,0,0,0
40,0,30,0,0,0
55,0,159,0,0,1
114,0,212,0,0,0
140,0,400,0,0,1
1500,0,574,0,0,0
129,0,416,0,0,0
37,4.18,138,1,0,0
68,0,217,0,0,0
180,0,380,0,0,0
93,0,56,0,0,0
71,0,123,0,0,0
50,0,72,0,0,0
64,0,278,0,0,0
120,0,160,0,0,0
38,0,132,0,0,1
50,0,206,0,0,1
93,0,225,0,0,0
125,0,136,0,0,0
55,0,135,0,0,0
58,0,190,0,0,1
79,0,55,0,0,0
54,0,152,0,0,1
63,3.39,159,1,0,1
79,0,165,0,0,0
121,6.17,171,1,0,0
51,0,165,0,0,0
43,0,140,0,0,1
79,0,200,0,0,1
34,0,102,0,0,1
42,0,125,0,0,1
242,0,148,0,0,0
60,0,240,0,0,0
40,0,121,0,0,0
93,0,125,0,0,0
72,0,124,0,0,0
168,0,314,0,0,0
51,0,127,0,0,1
72,0,131,0,0,1
38,0,26,0,0,1
240,0,551,0,0,0
408,0,743,0,0,1
63,0,128,0,0,0
1164,0,920,0,0,0
65,0,127,0,0,0
21,0,115,0,0,0
174,0,240,0,0,0
1200,0,366,0,0,0
156,0,214,0,0,1
138,0,198,0,0,0
308,0,677,0,0,0
604,0,417,0,0,0
400,0,256,0,0,0
636,0,63,0,0,0
660,0,592,0,0,0
156,0,345,0,0,0
116,0,273,0,0,0
146,0,192,0,0,0
99,0,125,0,0,0
74,0,140,0,0,0
535,0,160,0,0,0
126,0,417,0,0,0
92,0,272,0,0,1
222,0,540,0,0,0
71,0,128,0,0,1
185,0,249,0,0,1
116,0,270,0,0,0
151,0,344,0,0,0
96,0,219,0,0,0
165,0,37,0,0,0
105,0,24,0,0,0
343,0,298,0,0,0
146,0,37,0,0,1
126,0,43,0,0,0
100,3.85,249,1,0,1
124,0,276,0,0,0
518,0,128,0,0,0
125,0,270,0,0,0
118,0,339,0,0,1
66,0,201,0,0,0
155,0,297,0,0,1
180,0,312,0,0,1
250,0,271,0,0,0
430,0,292,0,0,0
150,0,228,0,0,1
126,0,228,0,0,0
521,0,270,0,0,1
554,0,220,0,0,0
554,0,213,0,0,0
121,0,285,0,0,1
527,0,125,0,0,1
400,0,318,0,0,1
128,0,290,0,0,1
231,0,225,0,0,1
348,0,120,0,0,0
110,0,132,0,0,0
161,0,287,0,0,0
208,0,241,0,0,0
196,0,220,0,0,0
73,0,293,0,0,0
131,0,225,0,0,1
84,0,278,0,0,1
97,0,234,0,0,0
75,0,202,0,0,0
164,0,192,0,0,1
66,0,143,0,0,0
171,0,170,0,0,1
56,0,200,0,0,0
264,0,256,0,0,0
170,0,252,0,1,1
218,0,557,0,0,0
230,0,100,0,0,0
300,0,264,0,0,0
399,0,350,0,0,1
551,0,526,0,0,0
105,0,207,0,0,0
144,0,158,0,0,0
84,0,113,0,0,0
108,0,314,0,0,1
126,0,253,0,0,0
198,0,288,0,0,0
45,0,40,0,0,0
58,0,200,0,0,0
336,0,724,0,0,0
113,0,125,0,0,0
582,0,326,0,0,0
582,0,326,0,0,0
582,0,256,0,0,0
202,0,500,0,0,0
90,0,187,0,0,0
76,0,252,0,0,1
66,0,219,0,0,0
90,4.26,216,1,0,1
218,0,353,0,0,0
189,0,257,0,0,0
138,0,301,0,0,1
94,0,238,0,1,0
63,0,123,0,0,0
90,0,37,0,0,0
66,0,257,0,0,1
74,0,157,0,0,0
131,0,252,0,0,0
149,0,280,0,1,1
84,0,212,0,0,1
132,0,217,0,0,1
300,0,258,0,1,0
95,0,233,0,0,0
190,0,272,0,0,0
90,0,196,0,0,0
170,0,183,0,0,0
140,0,249,0,0,1
78,0,314,0,0,0
107,0,279,0,1,0
420,0,220,0,0,1
51,4.72,148,1,0,0
85,0,177,0,0,0
52,4.99,169,1,0,0
67,6.13,194,1,0,0
116,6.19,197,1,0,1
86,4.5,212,1,0,0
89,3.39,276,1,0,0
420,0,41,0,0,1
58,0,162,0,0,0
70,0,191,0,0,1
86,0,201,0,0,0
70,0,180,0,0,0
57,0,203,0,0,0
97,0,209,0,0,0
57,4.6,178,1,0,1
83,0,200,0,0,0
49,0,150,0,0,0
33,0,243,0,0,1
48,0,228,0,0,1
174,0,414,0,0,1
131,0,263,0,0,1
72,3.69,286,1,0,1
78,0,220,0,0,1
72,4.57,167,1,0,0
90,0,149,0,0,0
85,4.82,191,1,0,0
68,0,230,0,0,0
102,0,275,0,0,0
78,0,228,0,0,0
90,0,240,0,0,0
100,0,276,0,0,1
170,0,206,0,0,0
151,0,225,0,0,0
43,0,201,0,0,1
122,0,167,0,0,0
95,0,279,0,0,0
73,0,128,0,0,0
170,5.06,26,1,0,0
45,0,156,0,0,0
76,0,275,0,0,0
56,0,192,0,0,0
54,0,158,0,0,1
125,4.34,204,1,0,0
65,7.59,63,1,0,1
70,0,214,0,0,1
99,0,265,0,1,1
83,0,146,0,0,0
213,0,264,0,1,0
191,0,239,0,0,0
95,7.98,49,1,0,0
310,0,200,0,0,0
60,5.84,285,1,0,1
56,0,240,0,0,1
110,0,228,0,1,1
88,0,239,0,0,0
131,0,265,0,0,0
94,0,229,0,0,1
126,0,266,0,0,1
103,0,240,0,0,0
240,3.08,269,1,0,0
112,0,266,0,1,1
70,0,249,0,0,0
234,0,237,0,0,0
93,0,238,0,0,0
102,0,238,0,0,0
48,0,168,0,0,0
102,0,188,0,0,0
102,0,228,0,0,0
144,0,176,0,0,1
48,0,220,0,0,0
102,5.09,35,1,0,0
62,3.46,250,1,0,1
65,0,190,0,0,1
50,0,162,0,0,1
54,0,148,0,0,0
102,0,234,0,0,0
82,0,156,0,0,1
42,0,152,0,0,0
150,0,152,0,0,0
118,0,80,0,0,0
74,0,147,0,0,0
60,0,229,0,0,0
168,0,190,0,0,0
145,0,150,0,0,0
120,3.07,107,1,0,0
138,0,271,0,0,0
33,0,80,0,0,0
166,0,206,0,0,0
102,0,238,0,0,0
51,4.82,168,1,0,0
64,4.55,194,1,0,0
46,4.68,186,1,0,0
90,4.85,199,1,0,0
59,0,141,0,0,1
134,3.71,216,1,0,0
134,3.98,216,1,0,0
120,0,224,0,1,1
45,0,147,0,0,1
66,4.69,191,1,0,0
120,0,225,0,0,1
50,0,147,0,0,1
112,6.92,280,1,0,1
79,0,160,0,0,0
52,4.79,188,1,0,0
57,0,210,0,0,0
60,0,198,0,0,0
75,0,231,0,0,0
68,0,221,0,0,1
86,0,248,0,0,0
70,0,250,0,0,0
